Day,runs,rpm,age,W/kg,success,fail,total,prop
A,1,0,9,0.0,1,22,23,0.043478261
A,1,125,9,0.4,0,25,25,0
A,1,190,9,0.9,0,25,25,0
A,1,290,9,2.1,2,21,23,0.086956522
A,1,360,9,3.3,0,23,23,0
A,1,430,9,4.7,0,22,22,0
A,1,500,9,6.3,3,16,19,0.157894737
A,1,700,9,12.4,3,18,21,0.142857143
A,2,0,9,0.0,1,23,24,0.041666667
A,2,125,9,0.4,1,22,23,0.043478261
A,2,190,9,0.9,0,25,25,0
A,2,290,9,2.1,0,24,24,0
A,2,360,9,3.3,0,23,23,0
A,2,430,9,4.7,1,24,25,0.04
A,2,500,9,6.3,3,16,19,0.157894737
A,2,700,9,12.4,3,18,21,0.142857143
B,3,0,9,0.0,1,22,23,0.043478261
B,3,125,9,0.4,0,24,24,0
B,3,190,9,0.9,0,24,24,0
B,3,290,9,2.1,0,22,22,0
B,3,360,9,3.3,0,22,22,0
B,3,430,9,4.7,1,22,23,0.043478261
B,3,500,9,6.3,6,18,24,0.25
B,3,700,9,12.4,6,12,18,0.333333333
Sept,4,0,9,0.0,0,20,20,0
Sept,4,290,9,2.1,1,19,20,0.05
Sept,4,360,9,3.3,0,20,20,0
Sept,4,430,9,4.7,4,15,19,0.210526316
Sept,4,500,9,6.3,3,17,20,0.15
Sept,5,0,9,0.0,0,17,17,0
Sept,5,290,9,2.1,6,13,19,0.315789474
Sept,5,360,9,3.3,2,15,17,0.117647059
Sept,5,430,9,4.7,8,6,14,0.571428571
Sept,5,500,9,6.3,0,17,17,0
Sept,6,0,9,0.0,0,19,19,0
Sept,6,290,9,2.1,6,14,20,0.3
Sept,6,360,9,3.3,4,12,16,0.25
Sept,6,430,9,4.7,5,8,13,0.384615385
Sept,6,500,9,6.3,1,17,18,0.055555556
Sept,7,0,9,0.0,0,20,20,0
Sept,7,290,9,2.1,6,12,18,0.333333333
Sept,7,360,9,3.3,5,12,17,0.294117647
Sept,7,430,9,4.7,5,7,12,0.416666667
Sept,7,500,9,6.3,2,18,20,0.1
A,8,0,10,0.0,0,25,25,0
A,8,125,10,0.4,4,20,24,0.166666667
A,8,190,10,0.9,2,23,25,0.08
A,8,290,10,2.1,4,20,24,0.166666667
A,8,360,10,3.3,2,21,23,0.086956522
A,8,430,10,4.7,3,21,24,0.125
A,8,500,10,6.3,10,8,18,0.555555556
A,8,700,10,12.4,12,9,21,0.571428571
B,9,0,10,0.0,1,22,23,0.043478261
B,9,125,10,0.4,2,22,24,0.083333333
B,9,190,10,0.9,2,22,24,0.083333333
B,9,290,10,2.1,7,18,25,0.28
B,9,360,10,3.3,2,23,25,0.08
B,9,430,10,4.7,7,17,24,0.291666667
B,9,500,10,6.3,6,13,19,0.315789474
B,9,700,10,12.4,12,13,25,0.48
A,10,0,11,0.0,10,10,20,0.5
A,10,125,11,0.4,12,9,21,0.571428571
A,10,190,11,0.9,9,12,21,0.428571429
A,10,290,11,2.1,10,9,19,0.526315789
A,10,360,11,3.3,11,9,20,0.55
A,10,430,11,4.7,14,3,17,0.823529412
A,10,500,11,6.3,14,1,15,0.933333333
A,10,700,11,12.4,14,6,20,0.7
B,11,0,11,0.0,3,21,24,0.125
B,11,125,11,0.4,4,19,23,0.173913043
B,11,190,11,0.9,10,14,24,0.416666667
B,11,290,11,2.1,9,17,26,0.346153846
B,11,360,11,3.3,4,19,23,0.173913043
B,11,430,11,4.7,9,14,23,0.391304348
B,11,500,11,6.3,20,3,23,0.869565217
B,11,700,11,12.4,15,6,21,0.714285714
Sept,12,0,11,0.0,0,24,24,0
Sept,12,190,11,0.9,1,15,16,0.0625
Sept,12,290,11,2.1,16,7,23,0.695652174
Sept,12,360,11,3.3,5,20,25,0.2
Sept,12,430,11,4.7,6,17,23,0.260869565
Sept,12,500,11,6.3,6,11,17,0.352941176
Sept,13,0,11,0.0,0,25,25,0
Sept,13,190,11,0.9,1,18,19,0.052631579
Sept,13,290,11,2.1,15,7,22,0.681818182
Sept,13,360,11,3.3,6,18,24,0.25
Sept,13,430,11,4.7,4,17,21,0.19047619
Sept,13,500,11,6.3,6,15,21,0.285714286
Sept,14,0,11,0.0,1,24,25,0.04
Sept,14,190,11,0.9,0,18,18,0
Sept,14,290,11,2.1,11,13,24,0.458333333
Sept,14,360,11,3.3,5,20,25,0.2
Sept,14,430,11,4.7,11,12,23,0.47826087
Sept,14,500,11,6.3,6,16,22,0.272727273
Sept,15,0,11,0.0,0,24,24,0
Sept,15,290,11,2.1,14,8,22,0.636363636
Sept,15,360,11,3.3,9,15,24,0.375
Sept,15,430,11,4.7,12,10,22,0.545454545
Sept,15,500,11,6.3,6,2,8,0.75
